EVENT; TIME; ARG1; ARG2
Start; 0; 2014-6-3 12:36:23; 0
Player_1_Head_Pos; 15.2874; 672; 332
Player_1_Torso_Pos; 15.2874; 651; 848
Player_1_Left_Hand_Pos; 15.2874; 351; 988
Player_1_Right_Hand_Pos; 15.2874; 1002; 1054
Player_1_Left_Foot_Pos; 15.2874; -283; 1452
Player_1_Right_Foot_Pos; 15.2874; 1002; 1054
Player_1_Head_Pos; 15.3406; 672; 332
Player_1_Torso_Pos; 15.3406; 645; 853
Player_1_Left_Hand_Pos; 15.3406; 357; 1001
Player_1_Right_Hand_Pos; 15.3406; 1081; 988
Player_1_Left_Foot_Pos; 15.3406; -278; 1452
Player_1_Right_Foot_Pos; 15.3406; 1081; 988
Player_1_Head_Pos; 15.3536; 661; 336
Player_1_Torso_Pos; 15.3536; 640; 840
Player_1_Left_Hand_Pos; 15.3536; 351; 984
Player_1_Right_Hand_Pos; 15.3536; 1081; 1015
Player_1_Left_Foot_Pos; 15.3536; -204; 1518
Player_1_Right_Foot_Pos; 15.3536; 1081; 1015
Player_1_Head_Pos; 15.404; 656; 332
Player_1_Torso_Pos; 15.404; 645; 840
Player_1_Left_Hand_Pos; 15.404; 357; 971
Player_1_Right_Hand_Pos; 15.404; 1055; 1102
Player_1_Left_Foot_Pos; 15.404; -246; 1789
Player_1_Right_Foot_Pos; 15.404; 1055; 1102
Player_1_Head_Pos; 15.4187; 651; 350
Player_1_Torso_Pos; 15.4187; 661; 861
Player_1_Left_Hand_Pos; 15.4187; 351; 988
Player_1_Right_Hand_Pos; 15.4187; 1239; 1063
Player_1_Left_Foot_Pos; 15.4187; -409; 1693
Player_1_Right_Foot_Pos; 15.4187; 1239; 1063
Player_1_Head_Pos; 15.4521; 666; 341
Player_1_Torso_Pos; 15.4521; 682; 879
Player_1_Left_Hand_Pos; 15.4521; 346; 997
Player_1_Right_Hand_Pos; 15.4521; 1107; 1120
Player_1_Left_Foot_Pos; 15.4521; -467; 1601
Player_1_Right_Foot_Pos; 15.4521; 1107; 1120
Player_1_Head_Pos; 15.5104; 708; 284
Player_1_Torso_Pos; 15.5104; 714; 875
Player_1_Left_Hand_Pos; 15.5104; 346; 1006
Player_1_Right_Hand_Pos; 15.5104; 939; 1106
Player_1_Left_Foot_Pos; 15.5104; 908; 2178
Player_1_Right_Foot_Pos; 15.5104; 939; 1106
Player_1_Head_Pos; 15.5526; 745; 275
Player_1_Torso_Pos; 15.5526; 729; 861
Player_1_Left_Hand_Pos; 15.5526; 351; 1001
Player_1_Right_Hand_Pos; 15.5526; 1060; 1111
Player_1_Left_Foot_Pos; 15.5526; -357; 1351
Player_1_Right_Foot_Pos; 15.5526; 1060; 1111
Player_1_Head_Pos; 15.6047; 750; 266
Player_1_Torso_Pos; 15.6047; 735; 866
