EVENT; TIME; ARG1; ARG2
Start; 0; 2014-7-30 9:57:41; 0
Player_1_Head_Pos; 0; 1113; 389
Player_1_Torso_Pos; 0; 971; 634
Player_1_Left_Hand_Pos; 0; 719; 630
Player_1_Right_Hand_Pos; 0; 1191; 765
Player_1_Left_Foot_Pos; 0; 945; 1015
Player_1_Right_Foot_Pos; 0; 1191; 765
Player_1_Head_Pos; 18.0634; 1102; 389
Player_1_Torso_Pos; 18.0634; 966; 634
Player_1_Left_Hand_Pos; 18.0634; 719; 625
Player_1_Right_Hand_Pos; 18.0634; 1176; 735
Player_1_Left_Foot_Pos; 18.0634; 945; 1045
Player_1_Right_Foot_Pos; 18.0634; 1176; 735
Player_1_Head_Pos; 18.0908; 1113; 393
Player_1_Torso_Pos; 18.0908; 966; 634
Player_1_Left_Hand_Pos; 18.0908; 719; 630
Player_1_Right_Hand_Pos; 18.0908; 1176; 743
Player_1_Left_Foot_Pos; 18.0908; 945; 1015
Player_1_Right_Foot_Pos; 18.0908; 1176; 743
Player_1_Head_Pos; 18.1283; 1113; 389
Player_1_Torso_Pos; 18.1283; 971; 634
Player_1_Left_Hand_Pos; 18.1283; 719; 630
Player_1_Right_Hand_Pos; 18.1283; 1186; 840
Player_1_Left_Foot_Pos; 18.1283; 945; 1019
Player_1_Right_Foot_Pos; 18.1283; 1186; 840
Player_1_Head_Pos; 18.1611; 1113; 389
Player_1_Torso_Pos; 18.1611; 971; 634
Player_1_Left_Hand_Pos; 18.1611; 719; 625
Player_1_Right_Hand_Pos; 18.1611; 1165; 756
Player_1_Left_Foot_Pos; 18.1611; 945; 1001
Player_1_Right_Foot_Pos; 18.1611; 1165; 756
Player_1_Head_Pos; 18.1953; 1118; 393
Player_1_Torso_Pos; 18.1953; 971; 634
Player_1_Left_Hand_Pos; 18.1953; 719; 630
Player_1_Right_Hand_Pos; 18.1953; 1170; 735
Player_1_Left_Foot_Pos; 18.1953; 945; 1010
Player_1_Right_Foot_Pos; 18.1953; 1170; 735
Player_1_Head_Pos; 18.2445; 1102; 389
Player_1_Torso_Pos; 18.2445; 966; 634
Player_1_Left_Hand_Pos; 18.2445; 719; 625
Player_1_Right_Hand_Pos; 18.2445; 1170; 726
Player_1_Left_Foot_Pos; 18.2445; 897; 1001
Player_1_Right_Foot_Pos; 18.2445; 1170; 726
Player_1_Head_Pos; 18.27; 1113; 389
Player_1_Torso_Pos; 18.27; 971; 634
Player_1_Left_Hand_Pos; 18.27; 714; 630
Player_1_Right_Hand_Pos; 18.27; 1191; 809
Player_1_Left_Foot_Pos; 18.27; 945; 1019
Player_1_Right_Foot_Pos; 18.27; 1191; 809
Player_1_Head_Pos; 18.2933; 1113; 389
Player_1_Torso_Pos; 18.2933; 976; 634
Player_1_Left_Hand_Pos; 18.2933; 719; 630
Player_1_Right_Hand_Pos; 18.2933; 1170; 730
Player_1_Left_Foot_Pos; 18.2933; 945; 1019
Player_1_Right_Foot_Pos; 18.2933; 1170; 730
Player_1_Head_Pos; 18.3509; 1118; 389
Player_1_Torso_Pos; 18.3509; 976; 634
Player_1_Left_Hand_Pos; 18.3509; 719; 630
Player_1_Right_Hand_Pos; 18.3509; 1170; 739
Player_1_Left_Foot_Pos; 18.3509; 939; 1041
Player_1_Right_Foot_Pos; 18.3509; 1170; 739
Player_1_Head_Pos; 18.3657; 1118; 389
Player_1_Torso_Pos; 18.3657; 976; 634
Player_1_Left_Hand_Pos; 18.3657; 719; 630
Player_1_Right_Hand_Pos; 18.3657; 1176; 748
Player_1_Left_Foot_Pos; 18.3657; 945; 1019
Player_1_Right_Foot_Pos; 18.3657; 1176; 748
Player_1_Head_Pos; 18.4188; 1118; 389
Player_1_Torso_Pos; 18.4188; 976; 634
Player_1_Left_Hand_Pos; 18.4188; 719; 630
Player_1_Right_Hand_Pos; 18.4188; 1176; 748
Player_1_Left_Foot_Pos; 18.4188; 945; 1019
Player_1_Right_Foot_Pos; 18.4188; 1176; 748
Player_1_Head_Pos; 18.4358; 1118; 389
Player_1_Torso_Pos; 18.4358; 976; 634
Player_1_Left_Hand_Pos; 18.4358; 719; 630
Player_1_Right_Hand_Pos; 18.4358; 1191; 844
Player_1_Left_Foot_Pos; 18.4358; 945; 1019
Player_1_Right_Foot_Pos; 18.4358; 1191; 844
Player_1_Head_Pos; 18.499; 1123; 389
Player_1_Torso_Pos; 18.499; 976; 634
Player_1_Left_Hand_Pos; 18.499; 719; 630
Player_1_Right_Hand_Pos; 18.499; 1191; 844
Player_1_Left_Foot_Pos; 18.499; 945; 1023
Player_1_Right_Foot_Pos; 18.499; 1191; 844
Player_1_Head_Pos; 18.5295; 1123; 389
Player_1_Torso_Pos; 18.5295; 976; 634
Player_1_Left_Hand_Pos; 18.5295; 756; 726
Player_1_Right_Hand_Pos; 18.5295; 1191; 840
Player_1_Left_Foot_Pos; 18.5295; 945; 1023
Player_1_Right_Foot_Pos; 18.5295; 1191; 840
Player_1_Head_Pos; 18.5624; 1123; 389
Player_1_Torso_Pos; 18.5624; 976; 634
Player_1_Left_Hand_Pos; 18.5624; 719; 630
Player_1_Right_Hand_Pos; 18.5624; 1191; 840
Player_1_Left_Foot_Pos; 18.5624; 945; 1023
Player_1_Right_Foot_Pos; 18.5624; 1191; 840
Player_1_Head_Pos; 18.594; 1107; 389
Player_1_Torso_Pos; 18.594; 976; 634
Player_1_Left_Hand_Pos; 18.594; 719; 630
Player_1_Right_Hand_Pos; 18.594; 1191; 840
Player_1_Left_Foot_Pos; 18.594; 945; 1023
Player_1_Right_Foot_Pos; 18.594; 1191; 840
Player_1_Head_Pos; 18.6637; 1118; 389
Player_1_Torso_Pos; 18.6637; 976; 634
Player_1_Left_Hand_Pos; 18.6637; 719; 630
Player_1_Right_Hand_Pos; 18.6637; 1191; 840
Player_1_Left_Foot_Pos; 18.6637; 945; 1023
Player_1_Right_Foot_Pos; 18.6637; 1191; 840
Player_1_Head_Pos; 18.6887; 1102; 389
Player_1_Torso_Pos; 18.6887; 966; 630
Player_1_Left_Hand_Pos; 18.6887; 708; 638
Player_1_Right_Hand_Pos; 18.6887; 1191; 848
Player_1_Left_Foot_Pos; 18.6887; 903; 1006
Player_1_Right_Foot_Pos; 18.6887; 1191; 848
Player_1_Head_Pos; 18.7219; 1113; 389
Player_1_Torso_Pos; 18.7219; 966; 630
Player_1_Left_Hand_Pos; 18.7219; 719; 630
Player_1_Right_Hand_Pos; 18.7219; 1181; 743
Player_1_Left_Foot_Pos; 18.7219; 945; 1010
Player_1_Right_Foot_Pos; 18.7219; 1181; 743
Player_1_Head_Pos; 18.7835; 1113; 389
Player_1_Torso_Pos; 18.7835; 971; 630
Player_1_Left_Hand_Pos; 18.7835; 719; 630
Player_1_Right_Hand_Pos; 18.7835; 1181; 743
Player_1_Left_Foot_Pos; 18.7835; 945; 1019
Player_1_Right_Foot_Pos; 18.7835; 1181; 743
Player_1_Head_Pos; 18.7964; 1118; 389
Player_1_Torso_Pos; 18.7964; 971; 634
Player_1_Left_Hand_Pos; 18.7964; 719; 630
Player_1_Right_Hand_Pos; 18.7964; 1170; 748
Player_1_Left_Foot_Pos; 18.7964; 945; 1019
Player_1_Right_Foot_Pos; 18.7964; 1170; 748
Player_1_Head_Pos; 18.8399; 1118; 389
Player_1_Torso_Pos; 18.8399; 976; 634
Player_1_Left_Hand_Pos; 18.8399; 719; 630
Player_1_Right_Hand_Pos; 18.8399; 1170; 748
Player_1_Left_Foot_Pos; 18.8399; 939; 1045
Player_1_Right_Foot_Pos; 18.8399; 1170; 748
Player_1_Head_Pos; 18.8709; 1118; 389
Player_1_Torso_Pos; 18.8709; 976; 634
Player_1_Left_Hand_Pos; 18.8709; 719; 630
Player_1_Right_Hand_Pos; 18.8709; 1170; 748
Player_1_Left_Foot_Pos; 18.8709; 939; 1045
Player_1_Right_Foot_Pos; 18.8709; 1170; 748
Player_1_Head_Pos; 18.9352; 1118; 389
Player_1_Torso_Pos; 18.9352; 976; 634
Player_1_Left_Hand_Pos; 18.9352; 719; 630
Player_1_Right_Hand_Pos; 18.9352; 1170; 748
Player_1_Left_Foot_Pos; 18.9352; 945; 1023
Player_1_Right_Foot_Pos; 18.9352; 1170; 748
Player_1_Head_Pos; 18.9599; 1107; 389
Player_1_Torso_Pos; 18.9599; 976; 634
Player_1_Left_Hand_Pos; 18.9599; 719; 630
Player_1_Right_Hand_Pos; 18.9599; 1176; 748
Player_1_Left_Foot_Pos; 18.9599; 945; 1023
Player_1_Right_Foot_Pos; 18.9599; 1176; 748
Player_1_Head_Pos; 18.9825; 1113; 389
Player_1_Torso_Pos; 18.9825; 976; 634
Player_1_Left_Hand_Pos; 18.9825; 719; 630
Player_1_Right_Hand_Pos; 18.9825; 1170; 748
Player_1_Left_Foot_Pos; 18.9825; 945; 1023
Player_1_Right_Foot_Pos; 18.9825; 1170; 748
Player_1_Head_Pos; 18.9989; 1113; 389
Player_1_Torso_Pos; 18.9989; 976; 634
Player_1_Left_Hand_Pos; 18.9989; 719; 630
Player_1_Right_Hand_Pos; 18.9989; 1176; 752
Player_1_Left_Foot_Pos; 18.9989; 945; 1023
Player_1_Right_Foot_Pos; 18.9989; 1176; 752
Player_1_Head_Pos; 19.0156; 1118; 389
Player_1_Torso_Pos; 19.0156; 976; 634
Player_1_Left_Hand_Pos; 19.0156; 719; 630
Player_1_Right_Hand_Pos; 19.0156; 1170; 743
Player_1_Left_Foot_Pos; 19.0156; 945; 1023
Player_1_Right_Foot_Pos; 19.0156; 1170; 743
Player_1_Head_Pos; 19.0652; 1118; 389
Player_1_Torso_Pos; 19.0652; 976; 634
Player_1_Left_Hand_Pos; 19.0652; 719; 630
Player_1_Right_Hand_Pos; 19.0652; 1170; 748
Player_1_Left_Foot_Pos; 19.0652; 945; 1023
Player_1_Right_Foot_Pos; 19.0652; 1170; 748
Player_1_Head_Pos; 19.1244; 1118; 389
Player_1_Torso_Pos; 19.1244; 976; 634
Player_1_Left_Hand_Pos; 19.1244; 719; 630
Player_1_Right_Hand_Pos; 19.1244; 1165; 748
Player_1_Left_Foot_Pos; 19.1244; 945; 1023
Player_1_Right_Foot_Pos; 19.1244; 1165; 748
Player_1_Head_Pos; 19.1344; 1118; 389
Player_1_Torso_Pos; 19.1344; 976; 634
Player_1_Left_Hand_Pos; 19.1344; 719; 630
Player_1_Right_Hand_Pos; 19.1344; 1176; 743
Player_1_Left_Foot_Pos; 19.1344; 939; 1019
Player_1_Right_Foot_Pos; 19.1344; 1176; 743
Player_1_Head_Pos; 19.1693; 1102; 389
Player_1_Torso_Pos; 19.1693; 976; 634
Player_1_Left_Hand_Pos; 19.1693; 719; 630
Player_1_Right_Hand_Pos; 19.1693; 1176; 743
Player_1_Left_Foot_Pos; 19.1693; 939; 1019
Player_1_Right_Foot_Pos; 19.1693; 1176; 743
Player_1_Head_Pos; 19.1901; 1102; 389
Player_1_Torso_Pos; 19.1901; 955; 625
Player_1_Left_Hand_Pos; 19.1901; 714; 621
Player_1_Right_Hand_Pos; 19.1901; 1170; 735
Player_1_Left_Foot_Pos; 19.1901; 934; 966
Player_1_Right_Foot_Pos; 19.1901; 1170; 735
Player_1_Head_Pos; 19.2343; 1113; 389
Player_1_Torso_Pos; 19.2343; 971; 630
