EVENT; TIME; ARG1; ARG2
Start; 0; 2014-6-25 15:15:47; 0
Player_1_Head_Pos; 28.3266; 834; 35
Player_1_Torso_Pos; 28.3266; 866; 507
Player_1_Left_Hand_Pos; 28.3266; 241; 717
Player_1_Right_Hand_Pos; 28.3266; 1454; 778
Player_1_Left_Foot_Pos; 28.3266; 462; 809
Player_1_Right_Foot_Pos; 28.3266; 1454; 778
Player_1_Head_Pos; 28.3602; 834; 35
Player_1_Torso_Pos; 28.3602; 882; 503
Player_1_Left_Hand_Pos; 28.3602; 246; 717
Player_1_Right_Hand_Pos; 28.3602; 1454; 778
Player_1_Left_Foot_Pos; 28.3602; 672; 717
Player_1_Right_Foot_Pos; 28.3602; 1454; 778
Player_1_Head_Pos; 28.4117; 845; 35
Player_1_Torso_Pos; 28.4117; 882; 498
Player_1_Left_Hand_Pos; 28.4117; 257; 717
Player_1_Right_Hand_Pos; 28.4117; 1454; 783
Player_1_Left_Foot_Pos; 28.4117; 1401; 1343
Player_1_Right_Foot_Pos; 28.4117; 1454; 783
Player_1_Head_Pos; 28.4339; 850; 35
Player_1_Torso_Pos; 28.4339; 887; 498
Player_1_Left_Hand_Pos; 28.4339; 267; 717
Player_1_Right_Hand_Pos; 28.4339; 1449; 787
Player_1_Left_Foot_Pos; 28.4339; 761; 708
Player_1_Right_Foot_Pos; 28.4339; 1449; 787
Player_1_Head_Pos; 28.4714; 855; 35
Player_1_Torso_Pos; 28.4714; 892; 494
Player_1_Left_Hand_Pos; 28.4714; 278; 717
Player_1_Right_Hand_Pos; 28.4714; 1449; 796
Player_1_Left_Foot_Pos; 28.4714; 771; 713
Player_1_Right_Foot_Pos; 28.4714; 1449; 796
Player_1_Head_Pos; 28.4958; 866; 35
Player_1_Torso_Pos; 28.4958; 897; 494
Player_1_Left_Hand_Pos; 28.4958; 283; 717
Player_1_Right_Hand_Pos; 28.4958; 1443; 787
Player_1_Left_Foot_Pos; 28.4958; 782; 717
Player_1_Right_Foot_Pos; 28.4958; 1443; 787
Player_1_Head_Pos; 28.5262; 871; 35
Player_1_Torso_Pos; 28.5262; 903; 494
Player_1_Left_Hand_Pos; 28.5262; 288; 717
Player_1_Right_Hand_Pos; 28.5262; 1443; 787
Player_1_Left_Foot_Pos; 28.5262; 777; 713
Player_1_Right_Foot_Pos; 28.5262; 1443; 787
Player_1_Head_Pos; 28.5767; 882; 35
Player_1_Torso_Pos; 28.5767; 903; 490
Player_1_Left_Hand_Pos; 28.5767; 299; 717
Player_1_Right_Hand_Pos; 28.5767; 1438; 787
Player_1_Left_Foot_Pos; 28.5767; 766; 704
Player_1_Right_Foot_Pos; 28.5767; 1438; 787
Player_1_Head_Pos; 28.5981; 887; 30
Player_1_Torso_Pos; 28.5981; 908; 490
Player_1_Left_Hand_Pos; 28.5981; 304; 713
Player_1_Right_Hand_Pos; 28.5981; 1438; 783
Player_1_Left_Foot_Pos; 28.5981; 766; 708
Player_1_Right_Foot_Pos; 28.5981; 1438; 783
Player_1_Head_Pos; 28.6414; 887; 30
Player_1_Torso_Pos; 28.6414; 908; 490
Player_1_Left_Hand_Pos; 28.6414; 309; 713
Player_1_Right_Hand_Pos; 28.6414; 1438; 787
Player_1_Left_Foot_Pos; 28.6414; 771; 713
Player_1_Right_Foot_Pos; 28.6414; 1438; 787
Player_1_Head_Pos; 28.6663; 897; 52
Player_1_Torso_Pos; 28.6663; 913; 490
Player_1_Left_Hand_Pos; 28.6663; 320; 708
Player_1_Right_Hand_Pos; 28.6663; 1433; 778
Player_1_Left_Foot_Pos; 28.6663; 1470; 1343
Player_1_Right_Foot_Pos; 28.6663; 1433; 778
Player_1_Head_Pos; 28.6978; 903; 61
Player_1_Torso_Pos; 28.6978; 913; 485
Player_1_Left_Hand_Pos; 28.6978; 320; 704
Player_1_Right_Hand_Pos; 28.6978; 1433; 783
Player_1_Left_Foot_Pos; 28.6978; 1454; 1334
Player_1_Right_Foot_Pos; 28.6978; 1433; 783
Player_1_Head_Pos; 28.7103; 913; 70
Player_1_Torso_Pos; 28.7103; 918; 485
Player_1_Left_Hand_Pos; 28.7103; 325; 704
Player_1_Right_Hand_Pos; 28.7103; 1386; 761
Player_1_Left_Foot_Pos; 28.7103; 1443; 1325
Player_1_Right_Foot_Pos; 28.7103; 1386; 761
Player_1_Head_Pos; 28.7622; 918; 74
Player_1_Torso_Pos; 28.7622; 918; 485
Player_1_Left_Hand_Pos; 28.7622; 330; 704
Player_1_Right_Hand_Pos; 28.7622; 1433; 783
Player_1_Left_Foot_Pos; 28.7622; 1422; 1316
Player_1_Right_Foot_Pos; 28.7622; 1433; 783
Player_1_Head_Pos; 28.7958; 918; 78
Player_1_Torso_Pos; 28.7958; 924; 485
Player_1_Left_Hand_Pos; 28.7958; 330; 700
Player_1_Right_Hand_Pos; 28.7958; 1417; 778
